seed,numSTA,macMechanism,totalLoadPercent,throughputMbps
1,4,EDCA,50,36.031
1,4,EDCA,80,43.249
1,4,EDCA,90,48.655
1,4,RTSCTS,50,27.032
1,4,RTSCTS,80,43.249
1,4,RTSCTS,90,48.655
1,8,EDCA,50,35.513
1,8,EDCA,80,41.226
1,8,EDCA,90,41.084
1,8,RTSCTS,50,35.049
1,8,RTSCTS,80,52.759
1,8,RTSCTS,90,53.864
1,12,EDCA,50,31.407
1,12,EDCA,80,37.478
1,12,EDCA,90,37.907
1,12,RTSCTS,50,27.844
1,12,RTSCTS,80,41.632
1,12,RTSCTS,90,45.439
1,20,EDCA,50,21.897
1,20,EDCA,80,28.199
1,20,EDCA,90,29.440
1,20,RTSCTS,50,27.092
1,20,RTSCTS,80,29.678
1,20,RTSCTS,90,38.525
2,4,EDCA,50,27.032
2,4,EDCA,80,45.801
2,4,EDCA,90,46.623
2,4,RTSCTS,50,36.025
2,4,RTSCTS,80,54.164
2,4,RTSCTS,90,56.204
2,8,EDCA,50,31.844
2,8,EDCA,80,39.972
2,8,EDCA,90,40.834
2,8,RTSCTS,50,30.570
2,8,RTSCTS,80,43.109
2,8,RTSCTS,90,47.041
2,12,EDCA,50,30.796
2,12,EDCA,80,37.460
2,12,EDCA,90,39.678
2,12,RTSCTS,50,28.066
2,12,RTSCTS,80,45.620
2,12,RTSCTS,90,42.503
2,20,EDCA,50,23.556
2,20,EDCA,80,32.461
2,20,EDCA,90,29.147
2,20,RTSCTS,50,26.487
2,20,RTSCTS,80,35.354
2,20,RTSCTS,90,39.364
3,4,EDCA,50,36.009
3,4,EDCA,80,45.033
3,4,EDCA,90,45.903
3,4,RTSCTS,50,35.864
3,4,RTSCTS,80,55.195
3,4,RTSCTS,90,48.657
3,8,EDCA,50,35.523
3,8,EDCA,80,42.004
3,8,EDCA,90,41.530
3,8,RTSCTS,50,31.464
3,8,RTSCTS,80,48.566
3,8,RTSCTS,90,50.315
3,12,EDCA,50,29.360
3,12,EDCA,80,38.163
3,12,EDCA,90,38.377
3,12,RTSCTS,50,28.425
3,12,RTSCTS,80,32.989
3,12,RTSCTS,90,41.592
3,20,EDCA,50,22.632
3,20,EDCA,80,29.052
3,20,EDCA,90,28.676
3,20,RTSCTS,50,20.869
3,20,RTSCTS,80,38.549
3,20,RTSCTS,90,34.393
4,4,EDCA,50,27.000
4,4,EDCA,80,43.196
4,4,EDCA,90,46.633
4,4,RTSCTS,50,36.011
4,4,RTSCTS,80,55.530
4,4,RTSCTS,90,55.070
4,8,EDCA,50,35.417
4,8,EDCA,80,40.152
4,8,EDCA,90,40.909
4,8,RTSCTS,50,34.447
4,8,RTSCTS,80,47.932
4,8,RTSCTS,90,45.754
4,12,EDCA,50,30.605
4,12,EDCA,80,34.882
4,12,EDCA,90,35.607
4,12,RTSCTS,50,25.074
4,12,RTSCTS,80,37.575
4,12,RTSCTS,90,48.952
4,20,EDCA,50,20.472
4,20,EDCA,80,24.529
4,20,EDCA,90,25.287
4,20,RTSCTS,50,19.591
4,20,RTSCTS,80,34.290
4,20,RTSCTS,90,39.083
5,4,EDCA,50,36.009
5,4,EDCA,80,44.565
5,4,EDCA,90,45.285
5,4,RTSCTS,50,35.975
5,4,RTSCTS,80,56.276
5,4,RTSCTS,90,56.075
5,8,EDCA,50,30.804
5,8,EDCA,80,38.999
5,8,EDCA,90,39.468
5,8,RTSCTS,50,31.405
5,8,RTSCTS,80,49.570
5,8,RTSCTS,90,50.958
5,12,EDCA,50,31.375
5,12,EDCA,80,35.188
5,12,EDCA,90,34.686
5,12,RTSCTS,50,31.673
5,12,RTSCTS,80,48.672
5,12,RTSCTS,90,48.364
5,20,EDCA,50,23.243
5,20,EDCA,80,19.849
5,20,EDCA,90,28.582
5,20,RTSCTS,50,25.867
5,20,RTSCTS,80,24.885
5,20,RTSCTS,90,38.041
